Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0248152821153991,0.0540284706191432,0.0702301400520133,0,0,0,0.164225201885735,0.000185117096711317,3.35000782164809E-07,-2.16255122871351E-06,8.64741710242579E-05,2.24295586682671E-05,0.000117564522990156,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/base_link.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/base_link.STL,,palm-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_1,0.0165160882889557,0.218929841437934,0.0426443231298225,0,0,0,0.0564019014158436,2.37095016898147E-05,5.79708748876765E-08,-2.08874689884313E-07,1.35787665730408E-05,7.2149597295717E-06,1.95031663378398E-05,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb_1.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb_1.STL,,thumb-1,Origin_thumb_1,,thumb_1,revolute,0.0065183,-0.053538,-0.1187,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
thumb2,0.0184242666035818,0.2115,-0.0731486565927314,0,0,0,0.00821021679962066,9.41305938370481E-07,-4.63221143029695E-22,-6.27413287970097E-08,8.21295376999864E-07,4.89690922631392E-22,4.66470295449126E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb2.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb2.STL,,medium_finger-5,Origin_thumb2,,thumb2,revolute,-0.1438,0.10918,-0.042963,0.61548,0.5236,-0.61548,thumb_1,0,0,0,0,0,0,0,,,,,,,,
thumb3,0.0190172457767738,0.211499900517986,-0.107830697249533,0,0,0,0.00837443117226879,7.99384879552869E-07,-1.21143264481426E-13,1.41505793351697E-08,7.11837240186701E-07,-1.43967952869599E-11,4.19442878449959E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb3.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/thumb3.STL,,fingertip-5,Origin_thumb3,,thumb3,revolute,0,0,0,0,0,0,thumb2,0,0,0,0,0,0,0,,,,,,,,
index_1,0.0184242666035818,0.2115,-0.0731486565927314,0,0,0,0.00821021679962066,9.41305938370482E-07,3.93673293052523E-23,-6.27413287970098E-08,8.21295376999864E-07,3.87498947148685E-22,4.66470295449127E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index_1.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index_1.STL,,medium_finger-3,Origin_index_1,,index_1,revolute,0.0070183,-0.088038,-0.11774,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
index_2,0.0189242666035936,0.212459355064574,-0.0736486565927318,0,0,0,0.00821021679962066,9.41305938370482E-07,3.98426209745085E-23,-6.27413287970098E-08,8.21295376999864E-07,3.91931231302881E-22,4.66470295449127E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index_2.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index_2.STL,,medium_finger-4,Origin_index_2,,index_2,revolute,-0.0005,-0.00095936,-0.0345,0,0,0,index_1,0,0,0,0,0,0,0,,,,,,,,
index_3,0.0195172453593326,0.212459231224048,-0.108330694287621,0,0,0,0.00837442341391307,7.99384128506354E-07,-1.80415329083848E-13,1.41507581790987E-08,7.1183828734224E-07,-1.63053988310208E-11,4.19440979887662E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index_3.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/index_3.STL,,fingertip-1,Origin_index_3,,index_3,revolute,0,0,0,0,0,0,index_2,0,0,0,0,0,0,0,,,,,,,,
middle_1,0.0185225777601428,0.1885,-0.083492788242791,0,0,0,0.0104502167996206,1.55194279531872E-06,-2.64954739345803E-23,-7.59193058568366E-08,1.40612552869482E-06,-6.09331100027254E-22,5.86986923529186E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle_1.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle_1.STL,,long_finger-1,Origin_middle_1,,middle_1,revolute,0.0070183,-0.095038,-0.11774,1.5708,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
middle_2,0.0190225777601451,0.189459355064574,-0.0839927882427892,0,0,0,0.0104502167996206,1.55194279531872E-06,-2.16384778206845E-23,-7.59193058568366E-08,1.40612552869482E-06,-5.8884027463283E-22,5.86986923529186E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle_2.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle_2.STL,,long_finger-2,Origin_middle_2,,middle_2,revolute,-0.0005,-0.00095936,-0.0415,0,0,0,middle_1,0,0,0,0,0,0,0,,,,,,,,
middle_3,1.7245359330724E-05,0.00999987615947376,-0.0178306942876202,0,0,0,0.00837442341391306,7.99384128506353E-07,-1.8041532904243E-13,1.41507581790987E-08,7.1183828734224E-07,-1.63053988312726E-11,4.19440979887662E-07,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle_3.STL,1,0.6,0.6,1,0,0,0,0,0,0,package://leju_hand.SLDASM/meshes/middle_3.STL,,fingertip-2,Origin_middle_3,Axis_middle_3,middle_3,revolute,0.0195,0.17946,-0.1045,0,0,0,middle_2,0,1,0,0,0,0,0,,,,,,,,
